,blockID,trialNumber,triggerName,timestamp_sys,timestamp_psyc,triggerSent_Serial00
1755,3,234,FeedbackPeriodStarted,1764329802.4548805,1804.6487939357758,False
1756,3,234,startFixDisplay,1764329802.455028,1804.6489398479462,False
1757,3,234,startFixPeriod,1764329802.6285264,1804.8224394321442,False
1758,3,234,TargetPresentation,1764329803.3086095,1805.5025222301483,False
1759,3,234,TargetDisplacement,1764329803.59291,1805.7868230342865,True
1760,3,234,RightResponse,1764329804.7659996,1806.9599115848541,False
1761,3,234,FeedbackPeriodStarted,1764329804.779672,1806.9735834598541,False
1762,3,235,startFixDisplay,1764329806.7916949,1808.985605955124,False
1763,3,235,startFixPeriod,1764329807.1250472,1809.318960428238,False
1764,3,235,TargetPresentation,1764329807.6800914,1809.8740043640137,False
1765,3,235,TargetDisplacement,1764329807.9089348,1810.1028475761414,True
1766,3,235,RightResponse,1764329808.7837927,1810.9777042865753,False
1767,3,236,FeedbackPeriodStarted,1764329808.8042045,1810.9981181621552,False
1768,3,236,startFixDisplay,1764329808.8043547,1810.9982664585114,False
1769,3,236,startFixPeriod,1764329808.949976,1811.1438896656036,False
1770,3,236,TargetPresentation,1764329809.6993766,1811.8932900428772,False
1771,3,236,TargetDisplacement,1764329809.9699402,1812.1638550758362,True
1772,3,236,LeftResponse,1764329810.643385,1812.8372976779938,False
1773,3,237,FeedbackPeriodStarted,1764329810.6637442,1812.8576574325562,False
1774,3,237,startFixDisplay,1764329810.6638846,1812.8577964305878,False
1775,3,237,startFixPeriod,1764329810.844231,1813.0381441116333,False
1776,3,237,TargetPresentation,1764329811.7047768,1813.8986902236938,False
1777,3,237,TargetDisplacement,1764329811.8920772,1814.0859904289246,True
1778,3,237,RightResponse,1764329812.5999312,1814.7938423156738,False
1779,3,238,FeedbackPeriodStarted,1764329812.6274447,1814.821358203888,False
1780,3,238,startFixDisplay,1764329812.6276214,1814.8215341567993,False
1781,3,238,startFixPeriod,1764329812.8011632,1814.9950790405273,False
1782,3,238,TargetPresentation,1764329813.6476977,1815.8416090011597,False
1783,3,238,TargetRemoval,1764329814.0639875,1816.2579004764557,True
1784,3,238,TargetReappeared,1764329814.3138103,1816.5077211856842,False
1785,3,238,LeftResponse,1764329814.6748316,1816.868742465973,False
1786,3,239,FeedbackPeriodStarted,1764329814.6953394,1816.8892526626587,False
1787,3,239,startFixDisplay,1764329814.6954834,1816.889395236969,False
1788,3,239,startFixPeriod,1764329814.8480384,1817.0419495105743,False
1789,3,239,TargetPresentation,1764329816.3470237,1818.540936946869,False
1790,3,239,TargetDisplacement,1764329816.7145886,1818.9084990024567,True
1791,3,239,LeftResponse,1764329817.360047,1819.5539581775665,False
1792,3,240,FeedbackPeriodStarted,1764329817.3807275,1819.5746412277222,False
1793,3,240,startFixDisplay,1764329817.380866,1819.574777841568,False
1794,3,240,startFixPeriod,1764329817.5820978,1819.7760109901428,False
1795,3,240,TargetPresentation,1764329818.949166,1821.1430795192719,False
1796,3,240,TargetRemoval,1764329819.150201,1821.3441135883331,True
1797,3,240,TargetReappeared,1764329819.4002023,1821.5941152572632,False
1798,3,240,LeftResponse,1764329820.0178866,1822.2117974758148,False
1799,3,240,FeedbackPeriodStarted,1764329820.0244973,1822.2184100151062,False
1800,3,241,startFixDisplay,1764329822.036806,1824.2307193279266,False
1801,3,241,startFixPeriod,1764329822.2937465,1824.4876592159271,False
1802,3,241,TargetPresentation,1764329823.0501287,1825.2440421581268,False
1803,3,241,TargetDisplacement,1764329823.264995,1825.4589083194733,True
1804,3,241,LeftResponse,1764329823.889744,1826.0836548805237,False
1805,3,242,FeedbackPeriodStarted,1764329823.9103549,1826.1042680740356,False
1806,3,242,startFixDisplay,1764329823.9104984,1826.1044101715088,False
1807,3,242,startFixPeriod,1764329824.0700228,1826.263934135437,False
1808,3,242,TargetPresentation,1764329824.5766802,1826.7705936431885,False
1809,3,242,TargetDisplacement,1764329824.8194375,1827.013350725174,True
1810,3,242,RightResponse,1764329826.5892894,1828.7832024097443,False
1811,3,243,FeedbackPeriodStarted,1764329826.6165009,1828.810411453247,False
1812,3,243,startFixDisplay,1764329826.6166208,1828.8105313777924,False
1813,3,243,startFixPeriod,1764329826.7623954,1828.9563086032867,False
1814,3,243,TargetPresentation,1764329827.3383427,1829.5322532653809,False
1815,3,243,TargetDisplacement,1764329827.6157217,1829.809632062912,True
1816,3,243,LeftResponse,1764329828.2892272,1830.483139514923,False
1817,3,244,FeedbackPeriodStarted,1764329828.309703,1830.5036165714264,False
1818,3,244,startFixDisplay,1764329828.3098426,1830.5037548542023,False
1819,3,244,startFixPeriod,1764329828.5248933,1830.7188038825989,False
1820,3,244,TargetPresentation,1764329829.6906843,1831.8845977783203,False
1821,3,244,TargetDisplacement,1764329829.6975355,1831.891446352005,True
1822,3,244,RightResponse,1764329830.5306165,1832.7245287895203,False
1823,3,245,FeedbackPeriodStarted,1764329830.5509915,1832.7449052333832,False
1824,3,245,startFixDisplay,1764329830.5511308,1832.7450425624847,False
1825,3,245,startFixPeriod,1764329830.7594004,1832.9533138275146,False
1826,3,245,TargetPresentation,1764329831.2659063,1833.4598200321198,False
1827,3,245,TargetRemoval,1764329832.5703726,1834.7642858028412,True
1828,3,245,TargetReappeared,1764329832.8201613,1835.0140721797943,False
1829,3,245,LeftResponse,1764329833.4727955,1835.6667082309723,False
1830,3,246,FeedbackPeriodStarted,1764329833.5000987,1835.694011926651,False
1831,3,246,startFixDisplay,1764329833.500237,1835.694149017334,False
1832,3,246,startFixPeriod,1764329833.5071247,1835.7010383605957,False
1833,3,246,TargetPresentation,1764329834.3538446,1836.547758102417,False
1834,3,246,TargetDisplacement,1764329834.4993932,1836.6933035850525,True
1835,3,246,RightResponse,1764329835.6099482,1837.8038606643677,False
1836,3,246,FeedbackPeriodStarted,1764329835.6165848,1837.8104979991913,False
1837,3,247,startFixDisplay,1764329837.6288784,1839.822791337967,False
1838,3,247,startFixPeriod,1764329837.8510363,1840.0449495315552,False
1839,3,247,TargetPresentation,1764329838.5588877,1840.7528009414673,False
1840,3,247,TargetDisplacement,1764329838.7808013,1840.9747116565704,True
1841,3,247,LeftResponse,1764329840.3076649,1842.5015773773193,False
1842,3,248,FeedbackPeriodStarted,1764329840.3351824,1842.5290954113007,False
1843,3,248,startFixDisplay,1764329840.3353791,1842.5292916297913,False
1844,3,248,startFixPeriod,1764329840.5088966,1842.7028107643127,False
1845,3,248,TargetPresentation,1764329841.2788913,1843.4728021621704,False
1846,3,248,TargetRemoval,1764329841.9380279,1844.1319403648376,True
1847,3,248,TargetReappeared,1764329842.187994,1844.3819072246552,False
1848,3,248,RightResponse,1764329842.6528983,1844.8468089103699,False
1849,3,249,FeedbackPeriodStarted,1764329842.6736553,1844.8675661087036,False
1850,3,249,startFixDisplay,1764329842.6737251,1844.8676352500916,False
1851,3,249,startFixPeriod,1764329842.7984939,1844.9924051761627,False
1852,3,249,TargetPresentation,1764329843.499476,1845.6933891773224,False
1853,3,249,TargetRemoval,1764329845.0883691,1847.2822797298431,True
1854,3,249,TargetReappeared,1764329845.3383124,1847.5322260856628,False
1855,3,249,LeftResponse,1764329845.6577923,1847.8517038822174,False
1856,3,250,FeedbackPeriodStarted,1764329845.6782093,1847.8721225261688,False
1857,3,250,startFixDisplay,1764329845.6783588,1847.8722705841064,False
1858,3,250,startFixPeriod,1764329845.8517478,1848.0456612110138,False
1859,3,250,TargetPresentation,1764329846.809348,1849.003261566162,False
1860,3,250,TargetDisplacement,1764329847.0104458,1849.2043585777283,True
1861,3,250,LeftResponse,1764329848.7246528,1850.9185633659363,False
1862,3,251,FeedbackPeriodStarted,1764329848.745183,1850.939096212387,False
1863,3,251,startFixDisplay,1764329848.7453575,1850.9392700195312,False
1864,3,251,startFixPeriod,1764329848.9881823,1851.1820957660675,False
1865,3,251,TargetPresentation,1764329849.7238057,1851.917718410492,False
1866,3,251,TargetDisplacement,1764329849.9317048,1852.125615119934,True
1867,3,251,RightResponse,1764329851.7571783,1853.9510900974274,False
1868,3,252,FeedbackPeriodStarted,1764329851.7844608,1853.9783737659454,False
1869,3,252,startFixDisplay,1764329851.7846282,1853.9785404205322,False
1870,3,252,startFixPeriod,1764329851.812363,1854.0062763690948,False
1871,3,252,TargetPresentation,1764329853.0960522,1855.289965391159,False
1872,3,252,TargetDisplacement,1764329853.3249695,1855.5188822746277,True
1873,3,252,RightResponse,1764329854.262255,1856.4561703205109,False
1874,3,252,FeedbackPeriodStarted,1764329854.2758155,1856.4697260856628,False
1875,3,253,startFixDisplay,1764329856.287801,1858.4817113876343,False
1876,3,253,startFixPeriod,1764329856.641853,1858.8357651233673,False
1877,3,253,TargetPresentation,1764329857.2108471,1859.404757976532,False
1878,3,253,TargetRemoval,1764329857.4605844,1859.6544947624207,True
1879,3,253,TargetReappeared,1764329857.7104669,1859.9043774604797,False
1880,3,253,RightResponse,1764329858.3072708,1860.5011811256409,False
1881,3,254,FeedbackPeriodStarted,1764329858.327848,1860.521758556366,False
1882,3,254,startFixDisplay,1764329858.3278959,1860.5218057632446,False
1883,3,254,startFixPeriod,1764329858.4668126,1860.6607236862183,False
1884,3,254,TargetPresentation,1764329859.4175324,1861.6114435195923,False
1885,3,254,TargetDisplacement,1764329859.604697,1861.7986073493958,True
1886,3,254,LeftResponse,1764329860.3614986,1862.5554111003876,False
1887,3,255,FeedbackPeriodStarted,1764329860.3819296,1862.5758430957794,False
1888,3,255,startFixDisplay,1764329860.382061,1862.5759727954865,False
1889,3,255,startFixPeriod,1764329860.548622,1862.7425327301025,False
1890,3,255,TargetPresentation,1764329861.3535104,1863.547422170639,False
1891,3,255,TargetDisplacement,1764329861.6586533,1863.852563381195,True
1892,3,255,LeftResponse,1764329862.2419438,1864.4358563423157,False
1893,3,256,FeedbackPeriodStarted,1764329862.2624052,1864.45631814003,False
1894,3,256,startFixDisplay,1764329862.2626095,1864.4565229415894,False
1895,3,256,startFixPeriod,1764329862.4845417,1864.6784551143646,False
1896,3,256,TargetPresentation,1764329863.6989045,1865.8928179740906,False
1897,3,256,TargetRemoval,1764329863.8652935,1866.0592062473297,True
1898,3,256,TargetReappeared,1764329864.1151395,1866.3090527057648,False
1899,3,256,LeftResponse,1764329864.6220105,1866.8159227371216,False
1900,3,257,FeedbackPeriodStarted,1764329864.6495051,1866.8434188365936,False
1901,3,257,startFixDisplay,1764329864.6496813,1866.843593597412,False
1902,3,257,startFixPeriod,1764329864.823095,1867.017008304596,False
1903,3,257,TargetPresentation,1764329865.870841,1868.0647540092468,False
1904,3,257,TargetDisplacement,1764329866.1275108,1868.3214240074158,True
1905,3,257,RightResponse,1764329866.7173374,1868.9112477302551,False
1906,3,258,FeedbackPeriodStarted,1764329866.738067,1868.931979894638,False
1907,3,258,startFixDisplay,1764329866.7382026,1868.9321143627167,False
1908,3,258,startFixPeriod,1764329866.9048247,1869.0987367630005,False
1909,3,258,TargetPresentation,1764329867.5224166,1869.7163417339325,False
1910,3,258,TargetDisplacement,1764329867.7721074,1869.9660201072693,True
1911,3,258,LeftResponse,1764329868.5566475,1870.7505600452423,False
1912,3,258,FeedbackPeriodStarted,1764329868.5701401,1870.7640535831451,False
1913,3,259,startFixDisplay,1764329870.5822573,1872.776170015335,False
1914,3,259,startFixPeriod,1764329870.9850655,1873.1789796352386,False
1915,3,259,TargetPresentation,1764329872.0674973,1874.26140832901,False
1916,3,259,TargetRemoval,1764329872.2547271,1874.4486374855042,True
1917,3,259,TargetReappeared,1764329872.5046701,1874.6985836029053,False
1918,3,259,LeftResponse,1764329872.907205,1875.1011164188385,False
1919,3,260,FeedbackPeriodStarted,1764329872.9275975,1875.1215085983276,False
1920,3,260,startFixDisplay,1764329872.9276605,1875.1215703487396,False
1921,3,260,startFixPeriod,1764329872.9346006,1875.128511428833,False
1922,3,260,TargetPresentation,1764329873.469166,1875.6630792617798,False
1923,3,260,TargetRemoval,1764329873.4760659,1875.6699793338776,True
1924,3,260,TargetReappeared,1764329873.725898,1875.9198098182678,False
1925,3,260,LeftResponse,1764329874.5450864,1876.7389996051788,False
1926,3,261,FeedbackPeriodStarted,1764329874.5652022,1876.759113073349,False
1927,3,261,startFixDisplay,1764329874.5652652,1876.7591750621796,False
1928,3,261,startFixPeriod,1764329874.7043185,1876.8982319831848,False
1929,3,261,TargetPresentation,1764329875.5369105,1877.730821609497,False
1930,3,261,TargetRemoval,1764329875.8489108,1878.0428211688995,True
1931,3,261,TargetReappeared,1764329876.0990164,1878.2929298877716,False
1932,3,261,LeftResponse,1764329876.5018432,1878.695754289627,False
1933,3,262,FeedbackPeriodStarted,1764329876.5221536,1878.7160670757294,False
1934,3,262,startFixDisplay,1764329876.5223,1878.7162120342255,False
1935,3,262,startFixPeriod,1764329876.695859,1878.8897733688354,False
1936,3,262,TargetPresentation,1764329877.9308825,1880.1247959136963,False
1937,3,262,TargetRemoval,1764329878.2776325,1880.4715428352356,True
1938,3,262,TargetReappeared,1764329878.527756,1880.7216691970825,False
1939,3,262,LeftResponse,1764329878.8055081,1880.9994204044342,False
1940,3,263,FeedbackPeriodStarted,1764329878.8328078,1881.0267186164856,False
1941,3,263,startFixDisplay,1764329878.83287,1881.0267798900604,False
1942,3,263,startFixPeriod,1764329878.9300776,1881.123990535736,False
1943,3,263,TargetPresentation,1764329880.005492,1882.1994051933289,False
1944,3,263,TargetDisplacement,1764329880.186065,1882.379977941513,True
1945,3,263,RightResponse,1764329880.9149787,1883.1088936328888,False
1946,3,263,FeedbackPeriodStarted,1764329880.9562612,1883.150174856186,False
1947,4,264,startFixDisplay,1764330050.6572351,2052.8511481285095,False
1948,4,264,startFixPeriod,1764330050.9210796,2053.114992618561,False
1949,4,264,TargetPresentation,1764330052.1563005,2054.350214242935,False
1950,4,264,TargetDisplacement,1764330052.329481,2054.5233912467957,True
1951,4,264,LeftResponse,1764330053.120896,2055.3148081302643,False
1952,4,265,FeedbackPeriodStarted,1764330053.1414363,2055.3353497982025,False
1953,4,265,startFixDisplay,1764330053.1415403,2055.3354501724243,False
1954,4,265,startFixPeriod,1764330053.2803524,2055.474265575409,False
1955,4,265,TargetPresentation,1764330054.1825209,2056.376434803009,False
1956,4,265,TargetDisplacement,1764330054.3348844,2056.528797149658,True
1957,4,265,RightResponse,1764330055.1891062,2057.383019208908,False
1958,4,266,FeedbackPeriodStarted,1764330055.2160609,2057.40997171402,False
1959,4,266,startFixDisplay,1764330055.2161248,2057.4100346565247,False
1960,4,266,startFixPeriod,1764330055.2230837,2057.416995048523,False
1961,4,266,TargetPresentation,1764330056.0420187,2058.235929250717,False
1962,4,266,TargetDisplacement,1764330056.2015011,2058.395411491394,True
1963,4,266,LeftResponse,1764330056.9583836,2059.152307987213,False
1964,4,267,FeedbackPeriodStarted,1764330056.9787483,2059.172661781311,False
1965,4,267,startFixDisplay,1764330056.9788928,2059.172816991806,False
1966,4,267,startFixPeriod,1764330056.9858503,2059.179761171341,False
1967,4,267,TargetPresentation,1764330058.005871,2060.1997830867767,False
1968,4,267,TargetRemoval,1764330058.2001019,2060.3940148353577,True
1969,4,267,TargetReappeared,1764330058.4499702,2060.6438834667206,False
1970,4,267,LeftResponse,1764330058.873517,2061.067428588867,False
1971,4,268,FeedbackPeriodStarted,1764330058.900902,2061.09481549263,False
1972,4,268,startFixDisplay,1764330058.9010358,2061.0949478149414,False
1973,4,268,startFixPeriod,1764330059.046786,2061.2406985759735,False
1974,4,268,TargetPresentation,1764330059.685064,2061.878975868225,False
1975,4,268,TargetDisplacement,1764330059.8235495,2062.0174598693848,True
1976,4,268,LeftResponse,1764330060.4903219,2062.684235572815,False
1977,4,269,FeedbackPeriodStarted,1764330060.5106692,2062.704582452774,False
1978,4,269,startFixDisplay,1764330060.5108106,2062.7047226428986,False
1979,4,269,startFixPeriod,1764330060.5594225,2062.75333571434,False
1980,4,269,TargetPresentation,1764330061.183948,2063.377861022949,False
1981,4,269,TargetDisplacement,1764330061.544641,2063.7385551929474,True
1982,4,269,RightResponse,1764330062.14188,2064.3357923030853,False
1983,4,270,FeedbackPeriodStarted,1764330062.162056,2064.3559668064117,False
1984,4,270,startFixDisplay,1764330062.1621246,2064.356034517288,False
1985,4,270,startFixPeriod,1764330062.1690617,2064.3629744052887,False
1986,4,270,TargetPresentation,1764330063.4183075,2065.6122212409973,False
1987,4,270,TargetDisplacement,1764330063.8067014,2066.000613927841,True
1988,4,270,LeftResponse,1764330064.0916536,2066.2855656147003,False
1989,4,270,FeedbackPeriodStarted,1764330064.0983906,2066.2923040390015,False
1990,4,271,startFixDisplay,1764330066.1104438,2068.304358959198,False
1991,4,271,startFixPeriod,1764330066.3049371,2068.4988489151,False
1992,4,271,TargetPresentation,1764330066.9364016,2069.1303148269653,False
1993,4,271,TargetDisplacement,1764330067.1444268,2069.338339328766,True
1994,4,271,RightResponse,1764330067.7622163,2069.956127882004,False
1995,4,272,FeedbackPeriodStarted,1764330067.7827053,2069.9766161441803,False
1996,4,272,startFixDisplay,1764330067.782846,2069.9767560958862,False
1997,4,272,startFixPeriod,1764330067.8245473,2070.0184597969055,False
1998,4,272,TargetPresentation,1764330069.1777217,2071.371635198593,False
1999,4,272,TargetDisplacement,1764330069.3717973,2071.565710067749,True
2000,4,272,LeftResponse,1764330069.878686,2072.072597503662,False
2001,4,273,FeedbackPeriodStarted,1764330069.9060886,2072.100001335144,False
2002,4,273,startFixDisplay,1764330069.9062452,2072.100157260895,False
2003,4,273,startFixPeriod,1764330069.9129398,2072.106850385666,False
2004,4,273,TargetPresentation,1764330070.4612775,2072.655190229416,False
2005,4,273,TargetDisplacement,1764330070.7111092,2072.905019760132,True
2006,4,273,LeftResponse,1764330071.4122293,2073.606141805649,False
2007,4,274,FeedbackPeriodStarted,1764330071.4399288,2073.6338431835175,False
2008,4,274,startFixDisplay,1764330071.4400678,2073.6339795589447,False
2009,4,274,startFixPeriod,1764330071.5994725,2073.793385744095,False
2010,4,274,TargetPresentation,1764330072.1960337,2074.3899466991425,False
2011,4,274,TargetDisplacement,1764330072.3555574,2074.549467563629,True
2012,4,274,RightResponse,1764330073.2927334,2075.48664522171,False
2013,4,275,FeedbackPeriodStarted,1764330073.3202136,2075.514126777649,False
2014,4,275,startFixDisplay,1764330073.3203568,2075.514268875122,False
2015,4,275,startFixPeriod,1764330073.4868042,2075.680717229843,False
2016,4,275,TargetPresentation,1764330074.5762048,2076.7701182365417,False
2017,4,275,TargetDisplacement,1764330074.7357154,2076.929625749588,True
2018,4,275,LeftResponse,1764330075.444216,2077.6381289958954,False
2019,4,276,FeedbackPeriodStarted,1764330075.4641721,2077.658082962036,False
2020,4,276,startFixDisplay,1764330075.4642344,2077.658144235611,False
2021,4,276,startFixPeriod,1764330075.6102421,2077.804155111313,False
2022,4,276,TargetPresentation,1764330076.338875,2078.5327882766724,False
2023,4,276,TargetRemoval,1764330076.5259223,2078.7198326587677,True
2024,4,276,TargetReappeared,1764330076.775959,2078.969872236252,False
2025,4,276,LeftResponse,1764330077.1924603,2079.386372566223,False
2026,4,276,FeedbackPeriodStarted,1764330077.1990087,2079.3929209709167,False
2027,4,277,startFixDisplay,1764330079.2114263,2081.405340194702,False
2028,4,277,startFixPeriod,1764330079.4683511,2081.6622648239136,False
2029,4,277,TargetPresentation,1764330080.786775,2082.9806883335114,False
2030,4,277,TargetRemoval,1764330081.1959279,2083.389838218689,True
2031,4,277,TargetReappeared,1764330081.4457867,2083.6396996974945,False
2032,4,277,LeftResponse,1764330081.5920837,2083.7859966754913,False
2033,4,278,FeedbackPeriodStarted,1764330081.6261635,2083.8200771808624,False
2034,4,278,startFixDisplay,1764330081.6262949,2083.820206642151,False
2035,4,278,startFixPeriod,1764330081.7303963,2083.92430973053,False
2036,4,278,TargetPresentation,1764330082.2577858,2084.4516973495483,False
2037,4,278,TargetDisplacement,1764330082.4448998,2084.638810157776,True
2038,4,278,RightResponse,1764330083.1320965,2085.326007604599,False
2039,4,279,FeedbackPeriodStarted,1764330083.159712,2085.3536252975464,False
2040,4,279,startFixDisplay,1764330083.1598413,2085.353753089905,False
2041,4,279,startFixPeriod,1764330083.166575,2085.3604865074158,False
2042,4,279,TargetPresentation,1764330084.2492962,2086.4432096481323,False
2043,4,279,TargetDisplacement,1764330084.4919884,2086.6858987808228,True
2044,4,279,LeftResponse,1764330085.0682795,2087.262192249298,False
2045,4,280,FeedbackPeriodStarted,1764330085.088934,2087.282844543457,False
2046,4,280,startFixDisplay,1764330085.0889993,2087.282909154892,False
2047,4,280,startFixPeriod,1764330085.1445045,2087.3384172916412,False
2048,4,280,TargetPresentation,1764330086.3795204,2088.5734322071075,False
2049,4,280,TargetDisplacement,1764330086.6777365,2088.8716492652893,True
2050,4,280,RightResponse,1764330087.2818806,2089.4757924079895,False
2051,4,281,FeedbackPeriodStarted,1764330087.302339,2089.496252298355,False
2052,4,281,startFixDisplay,1764330087.3025084,2089.49644780159,False
2053,4,281,startFixPeriod,1764330087.4273756,2089.6212887763977,False
2054,4,281,TargetPresentation,1764330088.7318935,2090.925806760788,False
2055,4,281,TargetDisplacement,1764330088.8913357,2091.0852484703064,True
2056,4,281,LeftResponse,1764330089.9047022,2092.098612546921,False
2057,4,282,FeedbackPeriodStarted,1764330089.9252255,2092.11913895607,False
